Institution,Tender Link
Construction Industry Development Board (CIDB),https://www.cidb.org.za/
Council for Geoscience,https://www.geoscience.org.za/
Council for Medical Schemes,https://www.medicalschemes.com/
Council for Medical Schemes,https://www.medicalschemes.co.za/
Council for the Built Environment (CBE),https://www.cbe.org.za/
Council on Higher Education (CHE),https://www.che.ac.za/
Cross-Border Road Transport Agency (CBRTA),https://www.cbrta.co.za/
Culture Arts Tourism Hospitality and Sports Education and Training Authority (CATHSSETA),https://www.cathsseta.org.za/
DBSA,https://www.dbsa.org/procurement
Denel,https://www.denel.co.za/tenders
District,https://www.sarahbaartman.gov.za
District,https://jgdm.gov.za
District,https://www.andm.gov.za
District,https://ortambodm.gov.za
District,http://www.amathole.gov.za
District,https://www.chrishanidm.gov.za
Ditsong Museums of South Africa,https://www.ditsong.org.za/
Dr Kenneth Kaunda,https://www.maquassihills.gov.za
Dr Kenneth Kaunda,https://www.matlosana.gov.za
Dr Kenneth Kaunda District,https://www.kaundadistrict.gov.za
Dr Ruth Segomotsi Mompati,https://www.kagisanomolopo.gov.za
Dr Ruth Segomotsi Mompati,https://www.greatertaung.gov.za
Dr Ruth Segomotsi Mompati,https://www.lekwateemane.gov.za
Dr Ruth Segomotsi Mompati,https://www.mamusa.gov.za
Dr Ruth Segomotsi Mompati,https://www.tswaing.gov.za
Dr Ruth Segomotsi Mompati,https://www.naledi.gov.za
Dr Ruth Segomotsi Mompati District,https://www.drsmompatidm.gov.za
Durban University of Technology (DUT),http://www.dut.ac.za/tenders
Eastcape Midlands TVET College,https://www.emcol.co.za
Education Training and Development Practices SETA (ETDP SETA),https://www.etdpseta.org.za/
Ehlanzeni,https://www.bushbuckridge.gov.za
Ehlanzeni,https://www.mbombela.gov.za
Ehlanzeni District,https://www.ehlanzeni.gov.za
Ehlanzeni TVET College,https://www.ehlanzenicollege.edu.za/
Ekurhuleni,https://www.ekurhuleni.gov.za/tenders/
Ekurhuleni East TVET College,https://www.eec.edu.za/
Ekurhuleni West TVET College,https://www.ewc.edu.za/
Elangeni TVET College,https://www.elangeni.edu.za/
Energy and Water Sector Education and Training Authority (EWSETA),https://www.ewseta.org.za/
Engineering Council of South Africa,https://www.ecsa.co.za/SitePages/Tenders.aspx
Esayidi TVET College,https://esayiditvet.co.za/
Eskom,https://tenderbulletin.eskom.co.za/
False Bay College,http://www.falsebaycollege.co.za/index.php?option=com_content&view=article&id=453:procurement-notice&catid=2:uncategorised&Itemid=391
False Bay TVET College,https://falsebaycollege.co.za/
Fezile Dabi,https://www.metsimaholo.gov.za
Fezile Dabi,https://www.mafube.gov.za
Fezile Dabi,https://www.moqhaka.gov.za
Fezile Dabi,https://www.ngwathe.gov.za
Fezile Dabi District,https://feziledabi.gov.za/
Fibre Processing Manufacturing Sector Education and Training Authority (FPSETA),https://www.fpseta.org.za/
Film and Publication Board (FPB),https://www.fpb.org.za/
Financial Intelligence Centre (FIC),https://www.fic.gov.za/
Financial Sector Conduct Authority (FSCA),https://www.fsca.co.za/
Financial and Accounting Services SETA (FASSET),https://www.fasset.org.za/
Food and Beverages Manufacturing Industry (FOODBEV SETA),https://www.foodbev.co.za/
Frances Baard,https://www.dikgatlong.gov.za
Frances Baard,https://www.solplaatje.gov.za
Frances Baard,https://www.magareng.gov.za
Frances Baard,https://www.phokwane.gov.za
Frances Baard District,https://www.francesbaard.gov.za
Freedom Park Trust,https://www.freedompark.co.za/
Garden Route,https://www.george.gov.za
Garden Route,https://www.knysna.gov.za
Garden Route,https://www.oudtshoorn.gov.za
Garden Route,https://www.kannaland.gov.za
Garden Route,https://www.bitou.gov.za
Garden Route,https://www.mosselbay.gov.za
Garden Route,https://www.hessequa.gov.za
Garden Route District,https://www.gardenroute.gov.za
Gert Sibande,https://www.dipaleseng.gov.za
Gert Sibande,https://www.lekwa.gov.za
Gert Sibande,https://www.albertluthuli.gov.za
Gert Sibande,https://www.govanmbeki.gov.za
Gert Sibande District,https://www.gertsibande.gov.za
Gert Sibande TVET College,https://gscollege.edu.za/tenders
Gert Sibande TVET College,https://gscollege.edu.za/
Goldfields TVET College,https://www.goldfields.edu.za
HSRC (Human Sciences Research Council),https://hsrc.ac.za/tenders/
Harry Gwala,https://www.greaterkokstad.gov.za
Harry Gwala,https://www.dndz.gov.za
Harry Gwala,https://www.umzimkhulu.gov.za
Harry Gwala District,https://www.harrygwaladm.gov.za
Health and Welfare Sector Education and Training Authority (HWSETA),https://www.hwseta.org.za/
Housing Development Agency (HDA),https://www.hda.org.za/
Human Sciences Research Council (HSRC),https://www.hsrc.ac.za/
ICASA (Independent Communications Authority of South Africa),https://www.icasa.org.za/bids-and-tenders/open-bids
IDT (Independent Development Trust),https://www.idt.org.za/cat_doc/advertised-tenders/
IRBA (Independent Regulatory Board for Auditors),https://www.irba.co.za/library/procurement
Ikhala TVET College,https://www.ikhala.edu.za
Independent Regulatory Board for Auditors (IRBA),https://www.irba.co.za/
Information Regulator,https://www.inforegulator.org.za/
"Information Systems, Electronics and Telecommunications Technologies SETA (MICT SETA)",https://www.mict.org.za/
Ingonyama Trust Board,https://www.ingonyamatrust.org.za/
Ingwe TVET College,https://www.ingwecollege.edu.za
Inkosi Matusi Catchment Management Agency,https://www.imcma.co.za/
Insurance Sector Education and Training Authority (INSETA),https://www.inseta.org.za/
International Trade Administration Commission (ITAC),https://www.itac.org.za/
Iziko Museums of South Africa,https://www.iziko.org.za/
Joe Gqabi,https://www.senqu.gov.za
Joe Gqabi,https://www.elundini.gov.za
Joe Gqabi,https://www.waltersisulu.gov.za
John Taolo Gaetsewe,https://www.joemorolong.gov.za
John Taolo Gaetsewe,https://www.gamagara.gov.za
John Taolo Gaetsewe,https://www.gasegonyana.gov.za
John Taolo Gaetsewe District,https://www.jtgdm.gov.za
King Cetshwayo,https://www.umlalazi.gov.za
King Cetshwayo,https://www.umfolozi.gov.za
King Cetshwayo,https://www.nkandla.gov.za
King Cetshwayo,https://www.mthonjaneni.gov.za
King Cetshwayo,https://www.umhlathuze.gov.za
King Cetshwayo District,https://www.kingcetshwayo.gov.za
King Hintsa TVET College,https://www.kinghintsacollege.edu.za
King Sabata Dalindyebo TVET College,https://www.ksdcollege.edu.za
KwaZulu-Natal Museum,https://www.nmsa.org.za/
Land Bank,https://landbank.co.za/Supply-Chain/Pages/Tenders.aspx
Legal Aid South Africa,https://www.legalaid.co.za/
Lejweleputswa,https://www.nala.gov.za
Lejweleputswa,https://www.tswelopele.gov.za
Lejweleputswa,https://www.masilonyana.gov.za
Lejweleputswa,https://www.tokologo.gov.za
Lejweleputswa,https://www.matjhabeng.gov.za
Lejweleputswa District,https://www.lejweleputswa.fs.gov.za/
Lepelle Northern Water,https://lepellewater.co.za/procurement/tenders/
Lephalale TVET College,https://www.lephalalefetcollege.edu.za/
Letaba TVET College,https://www.letcol.co.za/
Limpopo Olifants Catchment Management Agency,https://www.locma.co.za/
Local Government Education and Training Authority (LGSETA),https://www.lgseta.org.za/
Lovedale TVET College,https://www.lovedaletc.edu.za
Luthuli Museum,https://www.luthulimuseum.org.za/
MINTEK,http://www.mintek.co.za/corporate-profile/tenders-procurement/
Magalies Water,https://magalieswater.co.za/tenders/
Majuba College,https://majuba.edu.za/tenders/
Majuba TVET College,https://majuba.edu.za/
Maluti TVET College,https://www.malutitvet.edu.za
Mandela Bay Theatre Complex,https://www.mbtheatrecomplex.co.za/
Mangaung,https://www.mangaung.co.za/tenders/
Mangosuthu University of Technology (MUT),https://www.mut.ac.za/tenders-procurement/
Manufacturing Engineering and Related Services Education and Training Authority (MERSETA),https://www.merseta.org.za/
Media Development and Diversity Agency (MDDA),https://www.mdda.org.za/
Mining Qualifications Authority (Pty) Ltd,https://www.mqa.org.za/
Mnambithi TVET College,https://www.mnambithicollege.co.za/
Mnambithi TVET College,https://www.mnambithicollege.co.za/index.php/media-mnambithi-college/tender-information/tenders-quotations
Mopani,https://www.ba-phalaborwa.gov.za
Mopani,https://www.maruleng.gov.za
Mopani,https://www.greatergiyani.gov.za
Mopani,https://www.greaterletaba.gov.za
Mopani,https://www.greatertzaneen.gov.za
Mopani District,https://www.mopani.gov.za
Mopani South East TVET College,https://www.mopanicollege.edu.za/
Motheo TVET College,https://www.motheotvet.co.za
Mthashana TVET College,https://www.mthashanacollege.co.za/
Mzimbubu-Tsitsikamma Catchment Management Agency,https://www.mtcma.co.za/
NERSA (National Energy Regulator of South Africa),https://www.nersa.org.za/procurement
NHLS,https://www.nhls.ac.za/supply-chain/latest-tenders/
NRF (National Research Foundation),https://www.nrf.ac.za/procurement/procurement-invitations/
Namakwa,https://www.namakhoi.gov.za
Namakwa,https://www.khaima.gov.za
Namakwa,https://www.karoohoogland.gov.za
Namakwa,https://www.kamiesberg.gov.za
Namakwa,https://www.hantam.gov.za
Namakwa,https://www.richtersveld.gov.za
Namakwa District,https://www.namakwadm.gov.za
Namibia University of Science and Technology,https://www.nust.na/?q=procurement
National Agricultural Marketing Council (NAMC),https://www.namc.co.za/
National Arts Council NPC,https://www.nac.org.za/
National Consumer Commission,https://www.thencc.gov.za/
National Consumer Tribunal,https://www.thenct.org.za/
National Credit Regulator,https://www.ncr.org.za/
National Development Agency,https://www.nda.org.za/
National Economic Development and Labour Council (NEDLAC),https://nedlac.org.za/
National Electronic Media Institute of SA (NEMISA),https://www.nemisa.co.za/
National Empowerment Fund Corporation SOC Ltd,https://www.nefcorp.co.za/
National Energy Regulator of South Africa (NERSA),https://www.nersa.org.za/
National Film and Video Foundation,https://www.nfvf.co.za/
National Gambling Board of SA,https://www.ngb.org.za/
National Health Laboratory Service (NHLS),https://www.nhls.ac.za/
National Heritage Council (NHC),https://www.nhc.org.za/
National Home Builders Registration Council (NHBRC),https://www.nhbrc.org.za/
National Housing Finance Corporation SOC Ltd,https://www.nhfc.co.za/
National Library of South Africa,https://www.nlsa.ac.za/
National Lotteries Commission,https://www.nlcsa.org.za/
National Metrology Institute of South Africa (NMISA),https://www.nmisa.org/
National Museum Bloemfontein,https://www.nasmus.co.za/
National Nuclear Regulator (NNR),https://www.nnr.co.za/
National Radioactive Waste Disposal Institute (NRWDI),https://www.nrwdi.org.za/
National Regulator for Compulsory Specifications (NRCS),https://www.nrcs.org.za/
National Research Foundation (NRF),http://www.nrf.ac.za/call_for_tenders.php
National Research Foundation (NRF),https://www.nrf.ac.za/
National Skills Fund,https://www.nsf.gov.za/
National Student Financial Aid Scheme (NSFAS),https://www.nsfas.org.za/
National Urban Reconstruction and Housing Agency (NURCHA),https://www.nurcha.co.za/
National Youth Development Agency (NYDA),https://www.nyda.gov.za/
Necsa (South African Nuclear Energy Corporation),https://www.necsa.co.za/tenders/
Nelson Mandela Bay,https://www.nelsonmandelabay.gov.za/tenders
Nelson Mandela Museum Umtata,https://www.nelsonmandelamuseum.org.za/
Ngaka Modiri Molema,https://www.ditsobotla.gov.za
Ngaka Modiri Molema,https://www.ramotshere.gov.za
Ngaka Modiri Molema,https://www.ratlou.gov.za
Ngaka Modiri Molema,https://www.mahikeng.gov.za
Ngaka Modiri Molema District,https://www.nmmdm.gov.za
Nkangala,https://www.emakhazeni.gov.za
Nkangala,https://www.moroka.gov.za
Nkangala District,https://www.nkangaladm.gov.za
Nkangala TVET College,http://www.ntc.edu.za/careers-tenders/tenders
Nkangala TVET College,http://www.ntc.edu.za/
North West University,http://www.nwu.ac.za/nwu-tenders
Northern Cape Rural TVET College,https://www.ncrfet.edu.za
Northern Cape Urban TVET College,https://www.ncufet.edu.za
Northlink TVET College,https://www.northlink.co.za/
OR Tambo,https://www.portstjohns.gov.za
OR Tambo,https://www.mhlontlo.gov.za
OR Tambo,https://www.ksd.gov.za
OR Tambo,https://www.nyandeni.gov.za
OR Tambo,https://www.ingquzahill.gov.za
Office of Health Standards Compliance (OHSC),https://www.ohsc.org.za/
Office of the Ombud for Financial Services Providers,https://www.faisombud.co.za/
Office of the Pension Funds Adjudicator,https://www.pfa.org.za/
Office of the Valuer-General,https://www.ovg.org.za/
Ombud Council,https://www.ombudcouncil.org.za/
Orbit TVET College,https://www.orbitcollege.co.za
Overberg,https://www.overstrand.gov.za
Overberg,https://www.swellenmun.co.za
Overberg,https://www.twk.org.za
Overberg,https://www.capeagulhas.gov.za
Overberg District,https://www.overberg.gov.za
PRASA  (primary; no fully standalone direct portal),https://www.etenders.gov.za/
Performing Arts Council of the Free State (PACOFS),https://www.pacofs.co.za/
Perishable Products Export Control Board (PPECB),https://www.ppecb.com/
Pixley Ka Seme,https://www.siyancuma.gov.za
Pixley Ka Seme,https://www.emthanjeni.gov.za
Pixley Ka Seme,https://www.renosterberg.gov.za
Pixley Ka Seme,https://www.siyathemba.gov.za
Pixley Ka Seme,https://www.kareeberg.gov.za
Pixley Ka Seme District,https://www.pixleykase.me.gov.za
Pongola-Umfolozi Catchment Management Agency,https://www.pucma.co.za/
Port Elizabeth TVET College,https://www.peptc.edu.za
Ports Regulator of South Africa,https://www.portsregulator.org/
Private Security Industry Regulatory Authority (PSIRA),https://www.psira.co.za/
Productivity SA,https://www.productivitysa.co.za/
Property Practitioners Regulatory Authority (PPRA),https://www.ppra.org.za/
Public Service Sector Education and Training Authority (PSETA),https://www.pseta.org.za/
Quality Council for Trades and Occupations (QCTO),https://www.qcto.org.za/
Railway Safety Regulator (RSR),https://www.rsr.org.za/
Road Accident Fund (RAF),https://www.raf.co.za/
Road Traffic Infringement Agency (RTIA),https://www.rtia.co.za/
Road Traffic Management Corporation (RTMC),https://www.rtmc.co.za/
Robben Island Museum,https://www.robben-island.org.za/
Rural Housing Loan Fund,https://www.rhlf.co.za/
SABC (South African Broadcasting Corporation),https://www.sabc.co.za/sabc/tender-search/
SABS (South African Bureau of Standards),https://www.sabs.co.za/tenders
SANRAL,https://www.nra.co.za/sanral-tenders/list/open-tenders
SANSA (South African National Space Agency),https://www.sansa.org.za/procurement/open-tenders/
SARS (South African Revenue Service),https://www.sars.gov.za/procurement/published-tenders/
SITA,https://www.sita.co.za/content/new-rfq-invitations
Safety and Security Education and Training Authority (SASSETA),https://www.sasseta.org.za/
Sarah Baartman,https://www.sundaysrivervalley.gov.za
Sarah Baartman,https://www.ndlambe.gov.za
Sarah Baartman,https://www.bcrm.gov.za
Sarah Baartman,https://www.koukamma.gov.za
Sarah Baartman,https://www.kouga.gov.za
Sarah Baartman,https://www.makana.gov.za
Sedibeng,https://lesedi-lm.gauteng.gov.za
Sedibeng,https://www.midvaal.gov.za
Sedibeng,https://emfuleni.gov.za
Sedibeng District,https://www.sedibeng.gov.za
Sedibeng TVET College,https://www.sedcol.co.za/
Sefako Makgatho Health Sciences University (SMU),https://www.smu.ac.za/product-category/active-tenders/
Sekhukhune,https://www.eliasmotsoaledi.gov.za
Sekhukhune,https://www.fetakgomotubatse.gov.za
Sekhukhune,https://www.makhuduthamaga.gov.za
Sekhukhune,https://www.ephraimmogalelm.gov.za
Sekhukhune District,https://www.sekhukhunedistrict.gov.za
Sekhukhune TVET College,https://www.sekhukhunefetcollege.edu.za/
Services Sector Education and Training Authority (SERVSETA),https://www.servseta.org.za/
Sol Plaatje University (SPU),https://www.spu.ac.za/index.php/tenders-2020/
South African Agency for Science and Technology Advancement (SAASTA),http://www.saasta.ac.za/index.php?option=com_content&view=article&id=277&Itemid=1
South African Bureau of Standards,https://www.sabs.co.za/Procurement/proc_tenders.asp
South African Civil Aviation Authority (SACAA),https://www.caa.co.za/
South African Council for Educators (SACE),https://www.sace.org.za/
South African Diamond and Precious Metals Regulator,https://www.sadpmr.org.za/
South African Health Products Regulatory Authority (SAHPRA),https://www.sahpra.org.za/
South African Heritage Resources Agency (SAHRA),https://www.sahra.org.za/
South African Institute for Drug-Free Sport,https://www.drugfreesport.org.za/
South African Library for the Blind,https://www.salb.co.za/
South African Maritime Safety Authority (SAMSA),https://www.samsa.org.za/
South African Medical Research Council (SAMRC),https://www.samrc.ac.za/
South African National Accreditation System (SANAS),https://www.sanas.co.za/
South African National Biodiversity Institute (SANBI),https://www.sanbi.org/
South African National Energy Development Institute (SANEDI),https://www.sanedi.org.za/
South African National Parks (SANParks),https://www.sanparks.org/
South African National Space Agency (SANSA),https://www.sansa.org.za/
South African Post Office,https://www.postoffice.co.za/business/tenders.html
South African Qualifications Authority (SAQA),https://www.saqa.org.za/
South African Qualifications Authority (SAQA),https://www.saqa.org.za/tenders-advertised
South African Revenue Service (SARS),https://www.sars.gov.za/
South African Social Security Agency (SASSA),https://www.sassa.gov.za/
South African Tourism Board,https://www.southafrica.net/
South Cape TVET College,https://www.southcapecollege.co.za/
South West Gauteng TVET College,https://www.swgc.co.za/
Special Investigating Unit (SIU),https://www.siu.org.za/
Stellenbosch University,http://www.sun.ac.za/english/search/Pages/results.aspx?k=tenders
Taletso TVET College,https://www.taletso.edu.za
Thabo Mofutsanyana,https://www.setsoto.gov.za
Thabo Mofutsanyana,https://www.phumelela.gov.za
Thabo Mofutsanyana,https://www.mantsopa.gov.za
Thabo Mofutsanyana,https://www.map.fs.gov.za
Thabo Mofutsanyana,https://www.dihlabeng.gov.za
Thabo Mofutsanyana,https://www.nketoana.gov.za
Thabo Mofutsanyana District,http://www.thabomofutsanyana.gov.za/
Thekwini TVET College,https://www.thekwini.edu.za/
Transnet,https://esupplierportal.transnet.net/portal/advertisedTenders
Tshwane North TVET College,https://www.tnc.edu.za/
Tshwane South TVET College,https://tsc.edu.za/
Tshwane University of Technology (TUT),https://www.tut.ac.za/tenders/
UNISA,https://www.unisa.ac.za/sites/corporate/default/Tenders
Ugu District,https://www.ugu.gov.za
Umalusi,https://www.umalusi.org.za/tenders/
Umfolozi TVET College,https://www.umfolozi.edu.za/
Umgungundlovu TVET College,https://www.umgungundlovu.edu.za/
University of Cape Town,http://www.uct.ac.za/services/pps/infoforvendors/current/
University of KwaZulu-Natal,http://www.ukzn.ac.za/tenders
University of Limpopo,http://www.ul.ac.za/index.php?Entity=Tenders
University of Mpumalanga,https://www.ump.ac.za/Procurement
University of Namibia,https://www.unam.edu.na/tenders
University of Pretoria,https://www.up.ac.za/tender/tenderdetails.aspx
University of Venda,https://www.univen.ac.za/tenders/
University of the Free State,https://www.ufs.ac.za/templates/tenders
University of the Witwatersrand (Wits),https://www.wits.ac.za/about-wits/tenders/
Vaal Central Water (formerly Bloem Water),https://vaalcentralwater.co.za/advertised-tenders/
Vaal University of Technology,https://www.vut.ac.za/tenders/
Vhembe,https://www.collinschabane.gov.za
Vhembe,https://www.thulamela.gov.za
Vhembe,https://www.makhado.gov.za
Vhembe,https://www.musina.gov.za
Vhembe District,https://www.vhembe.gov.za
Vhembe TVET College,https://www.vhembecollege.edu.za/
Vuselela TVET College,https://vuselelacollege.co.za/tenders/
Vuselela TVET College,https://vuselelacollege.co.za
Walter Sisulu University,https://www.wsu.ac.za/index.php/tenders
Waterberg,https://www.modimolle.gov.za
Waterberg,https://www.thabazimbi.gov.za
Waterberg,https://www.lephalale.gov.za
Waterberg,https://www.belabela.gov.za
Waterberg,https://www.mogalakwena.gov.za
Waterberg District,https://www.waterberg.gov.za
Waterberg TVET College,https://www.waterbergcollege.co.za/
Waterberg TVET College,https://www.waterbergcollege.co.za/tenders.php
West Coast,https://www.bergmun.org.za
West Coast,http://www.cederbergmun.gov.za
West Coast,https://www.matzikamamunicipality.co.za
West Coast,https://www.swartland.org.za
West Coast,https://www.sbm.gov.za
West Coast District,https://westcoastdm.co.za
West Coast TVET College,https://www.westcoastcollege.co.za/
West Rand,https://merafong.gov.za
West Rand,https://mogalecity.gov.za
West Rand,https://randwestcity.gauteng.gov.za
West Rand District,https://www.wrdm.gov.za
Western (Westcol) TVET College,https://www.westcol.co.za/
Western Cape,https://www.westerncape.gov.za/treasury/tenders
Xhariep,https://www.letsemeng.gov.za
Xhariep,https://www.mohokare.gov.za
Xhariep,https://www.kopanong.gov.za
Xhariep District,https://www.xhariep.fs.gov.za/
ZF Mgcawu,https://www.kaigarib.gov.za
ZF Mgcawu,https://www.kgatelopele.gov.za
ZF Mgcawu,https://www.dawidkruiper.gov.za
ZF Mgcawu,https://www.kheis.gov.za
ZF Mgcawu District,https://www.zfmgcawu.gov.za
Zululand,https://www.nongoma.gov.za
Zululand,https://www.abaqulusi.gov.za
Zululand,https://www.edumbe.gov.za
Zululand,https://www.uphongolo.gov.za
Zululand District,https://www.zululand.org.za
beyersnaude.gov.za,https://www.dr
eThekwini (Durban),https://ethekwinisupplierportal.durban.gov.za/
http://www.amathole.gov.za,http://www.amathole.gov.za/index.php/scm/current-tenders
https://agrement.co.za/,https://agrement.co.za/open-tenders/
https://bankseta.org.za/,https://bankseta.org.za/supply-chain/
https://boxingsa.co.za/,https://boxingsa.co.za/tenders-rfq/
https://emfuleni.gov.za,https://emfuleni.gov.za/tenders/
https://falsebaycollege.co.za/,https://falsebaycollege.co.za/business-and-industry/supply-chain-management/
https://jgdm.gov.za,https://jgdm.gov.za/tenders/tender-quotation-advertisements/
https://merafong.gov.za,https://merafong.gov.za/tenders-available/
https://mogalecity.gov.za,https://mogalecity.gov.za/mogale-city/work-in/tenders/
https://ortambodm.gov.za,https://ortambodm.gov.za/tenders/
https://www.abaqulusi.gov.za,https://www.abaqulusi.gov.za/tenders
https://www.alfredduma.gov.za,https://www.alfredduma.gov.za/supply-chain
https://www.amahlathi.gov.za,https://www.amahlathi.gov.za/tenders
https://www.andm.gov.za,https://www.andm.gov.za/current-tenders/
https://www.arc.agric.za/,https://www.arc.agric.za/Pages/Tenders.aspx
https://www.artscape.co.za/,https://www.artscape.co.za/tenders/
https://www.bcrm.gov.za,https://www.bcrm.gov.za/tenders
https://www.beaufortwestmun.co.za,https://www.beaufortwestmun.co.za/tenders
https://www.bergmun.org.za,https://www.bergmun.org.za/supply-chain-management
https://www.bma.gov.za/,https://www.bma.gov.za/tenders/
https://www.bushbuckridge.gov.za,https://www.bushbuckridge.gov.za/tenders
https://www.caa.co.za/,https://www.caa.co.za/tenders/
https://www.cathsseta.org.za/,https://www.cathsseta.org.za/tenders/
https://www.cbe.org.za/,https://www.cbe.org.za/tenders/
https://www.cbrta.co.za/,https://www.cbrta.co.za/tenders/
https://www.ccma.org.za/,https://www.ccma.org.za/tenders/
https://www.ceta.org.za/,https://www.ceta.org.za/tenders/
https://www.ceta.org.za/,https://www.ceta.org.za/supply-chain-management/
https://www.chieta.org.za/,https://www.chieta.org.za/supply-chain-management/
https://www.chrishanidm.gov.za,https://www.chrishanidm.gov.za/tenders/
https://www.cipc.co.za/,https://www.cipc.co.za/index.php/about/tenders/
https://www.compcom.co.za/,https://www.compcom.co.za/tenders/
https://www.csos.org.za/,https://www.csos.org.za/tenders/
https://www.emalahleni.gov.za,https://www.emalahleni.gov.za/tenders
https://www.etdpseta.org.za/,https://www.etdpseta.org.za/tenders/
https://www.etdpseta.org.za/,https://www.etdpseta.org.za/supply-chain/
https://www.ewc.edu.za/,https://www.ewc.edu.za/tenders.html
https://www.ewseta.org.za/,https://www.ewseta.org.za/supply-chain-management/
https://www.ewseta.org.za/,https://www.ewseta.org.za/tenders/
https://www.fasset.org.za/,https://www.fasset.org.za/supply-chain/
https://www.foodbev.co.za/,https://www.foodbev.co.za/supply-chain-management/
https://www.fpb.org.za/,https://www.fpb.org.za/tenders/
https://www.fpseta.org.za/,https://www.fpseta.org.za/tenders/
https://www.fsca.co.za/,https://www.fsca.co.za/tenders/
